"year","percentile","contraceptive_use_modern","Region","Population"
1970,"50%",0.00161414910407716,"BoucledeMouhoun","ALL"
1971,"50%",0.00191662861955288,"BoucledeMouhoun","ALL"
1972,"50%",0.00228735204364327,"BoucledeMouhoun","ALL"
1973,"50%",0.00272604897770162,"BoucledeMouhoun","ALL"
1974,"50%",0.00322280545424425,"BoucledeMouhoun","ALL"
1975,"50%",0.00380738563155502,"BoucledeMouhoun","ALL"
1976,"50%",0.00456573740837925,"BoucledeMouhoun","ALL"
1977,"50%",0.00534957001692479,"BoucledeMouhoun","ALL"
1978,"50%",0.00627006070760944,"BoucledeMouhoun","ALL"
1979,"50%",0.0073045658549948,"BoucledeMouhoun","ALL"
1980,"50%",0.00866382666293222,"BoucledeMouhoun","ALL"
1981,"50%",0.010037858895766,"BoucledeMouhoun","ALL"
1982,"50%",0.0114671015158617,"BoucledeMouhoun","ALL"
1983,"50%",0.0131424763526143,"BoucledeMouhoun","ALL"
1984,"50%",0.0151719864615022,"BoucledeMouhoun","ALL"
1985,"50%",0.0173183388359242,"BoucledeMouhoun","ALL"
1986,"50%",0.0197813924780196,"BoucledeMouhoun","ALL"
1987,"50%",0.0224982118329152,"BoucledeMouhoun","ALL"
1988,"50%",0.0257072104865475,"BoucledeMouhoun","ALL"
1989,"50%",0.028593092086986,"BoucledeMouhoun","ALL"
1990,"50%",0.0325127843767668,"BoucledeMouhoun","ALL"
1991,"50%",0.0367307803408315,"BoucledeMouhoun","ALL"
1992,"50%",0.0411137849109064,"BoucledeMouhoun","ALL"
1993,"50%",0.0461147987579965,"BoucledeMouhoun","ALL"
1994,"50%",0.0513440291706021,"BoucledeMouhoun","ALL"
1995,"50%",0.0562905178398387,"BoucledeMouhoun","ALL"
1996,"50%",0.0621267342319863,"BoucledeMouhoun","ALL"
1997,"50%",0.0679484256322759,"BoucledeMouhoun","ALL"
1998,"50%",0.0742694635983191,"BoucledeMouhoun","ALL"
1999,"50%",0.0803751909898654,"BoucledeMouhoun","ALL"
2000,"50%",0.0863848065273425,"BoucledeMouhoun","ALL"
2001,"50%",0.0923521632244623,"BoucledeMouhoun","ALL"
2002,"50%",0.0977278749666757,"BoucledeMouhoun","ALL"
2003,"50%",0.101622483655579,"BoucledeMouhoun","ALL"
2004,"50%",0.103829761217374,"BoucledeMouhoun","ALL"
2005,"50%",0.104779585019557,"BoucledeMouhoun","ALL"
2006,"50%",0.105419661637894,"BoucledeMouhoun","ALL"
2007,"50%",0.105949337352975,"BoucledeMouhoun","ALL"
2008,"50%",0.106129113380106,"BoucledeMouhoun","ALL"
2009,"50%",0.108407262625458,"BoucledeMouhoun","ALL"
2010,"50%",0.113905244499617,"BoucledeMouhoun","ALL"
2011,"50%",0.128111724156545,"BoucledeMouhoun","ALL"
2012,"50%",0.146839412853161,"BoucledeMouhoun","ALL"
2013,"50%",0.168586898445371,"BoucledeMouhoun","ALL"
2014,"50%",0.188211555789918,"BoucledeMouhoun","ALL"
2015,"50%",0.198813106072444,"BoucledeMouhoun","ALL"
2016,"50%",0.201857468879948,"BoucledeMouhoun","ALL"
2017,"50%",0.233965222371236,"BoucledeMouhoun","ALL"
2018,"50%",0.253391642487357,"BoucledeMouhoun","ALL"
2019,"50%",0.265774415030787,"BoucledeMouhoun","ALL"
2020,"50%",0.276852246193368,"BoucledeMouhoun","ALL"
2021,"50%",0.285545968168661,"BoucledeMouhoun","ALL"
2022,"50%",0.294672703770026,"BoucledeMouhoun","ALL"
2023,"50%",0.302811296284565,"BoucledeMouhoun","ALL"
2024,"50%",0.309455882214683,"BoucledeMouhoun","ALL"
2025,"50%",0.315762547667357,"BoucledeMouhoun","ALL"
2026,"50%",0.323237199823905,"BoucledeMouhoun","ALL"
2027,"50%",0.330758798897122,"BoucledeMouhoun","ALL"
2028,"50%",0.338296632670815,"BoucledeMouhoun","ALL"
2029,"50%",0.344659471897069,"BoucledeMouhoun","ALL"
2030,"50%",0.34960140430836,"BoucledeMouhoun","ALL"
1970,"50%",0.00495988996139584,"Cascades","ALL"
1971,"50%",0.00581267341432984,"Cascades","ALL"
1972,"50%",0.00668805960103123,"Cascades","ALL"
1973,"50%",0.00779174074856696,"Cascades","ALL"
1974,"50%",0.00892148721132623,"Cascades","ALL"
1975,"50%",0.0104867333152947,"Cascades","ALL"
1976,"50%",0.0118695842048888,"Cascades","ALL"
1977,"50%",0.0134899801180355,"Cascades","ALL"
1978,"50%",0.0151736521988522,"Cascades","ALL"
1979,"50%",0.0171984531118316,"Cascades","ALL"
1980,"50%",0.019423287537059,"Cascades","ALL"
1981,"50%",0.0217103230158333,"Cascades","ALL"
1982,"50%",0.0243293511283438,"Cascades","ALL"
1983,"50%",0.0274231609918531,"Cascades","ALL"
1984,"50%",0.0305626845810148,"Cascades","ALL"
1985,"50%",0.0338904154011208,"Cascades","ALL"
1986,"50%",0.0373158214886341,"Cascades","ALL"
1987,"50%",0.0411224837496574,"Cascades","ALL"
1988,"50%",0.0458783323952677,"Cascades","ALL"
1989,"50%",0.0501847554856395,"Cascades","ALL"
1990,"50%",0.055002641688687,"Cascades","ALL"
1991,"50%",0.0601684571605654,"Cascades","ALL"
1992,"50%",0.0662005824807407,"Cascades","ALL"
1993,"50%",0.0726120227670449,"Cascades","ALL"
1994,"50%",0.0787648923561828,"Cascades","ALL"
1995,"50%",0.0853993227632593,"Cascades","ALL"
1996,"50%",0.0920872264668419,"Cascades","ALL"
1997,"50%",0.100315593470573,"Cascades","ALL"
1998,"50%",0.107467941119948,"Cascades","ALL"
