"Country","mCPR with SC Introduction","mCPR without SC Introduction","DMPA-SC Users","Additional Users","Former IM","Former STM","Reduced Discontinuation","Uptake from Non-Users"
"BoucledeMouhoun",37.6,35,26110,13390,0.378486587812307,0.108684996052213,0.0328814689164076,0.479946947219072
"Cascades",40.6,38.2,20208,10324,0.297310768479284,0.191823482281042,0.031240009950028,0.479625739289646
"Centre",43.5,41.5,28662,14423,0.172063999123985,0.324710715300876,0.0289418315154252,0.474283454059714
"CentreEst",29.1,26.3,21283,13666,0.276752719049482,0.0811479266181352,0.0241284356428964,0.617970918689486
"CentreNord",29.5,26.7,19104,12378,0.279468206753551,0.0725877017535026,0.0238895948642772,0.62405449662867
"CentreOuest",34.3,31.7,25658,15700,0.215499865493032,0.172621306247863,0.0243506712744152,0.58752815698469
"CentreSud",41.8,39.4,21097,10915,0.326705341249092,0.155903177293407,0.0315388205673082,0.485852660890193
"Est",33.7,30.9,24175,14362,0.350613131954681,0.0553120669431444,0.0281538295404044,0.56592097156177
"HautsBassin",44.6,42.5,29892,13002,0.364678485207868,0.200361951380907,0.0365433588995162,0.39841620451171
"Nord",41.1,38.6,24056,12508,0.360012689546806,0.120033176381872,0.0321230035559337,0.487831130515388
"PlateauCentral",41.3,38.9,22707,12044,0.359171007936341,0.11041466529801,0.0315732578907366,0.498841068874912
"Sahel",26.4,23.7,17799,11452,0.29551659037564,0.0610735328293649,0.0244643068260679,0.618945569968927
"SudOuest",34.2,31.7,18300,11711,0.202476561293977,0.157582629257711,0.0226449308954981,0.617295878552814
