unit_numeric_code,start_date,end_date,is_in_union,age_range,data_series_type,group_type_relative_to_baseline,contraceptive_use_modern,contraceptive_use_traditional,contraceptive_use_any,unmet_need_modern,unmet_need_any,is_pertaining_to_methods_used_since_last_pregnancy,pertaining_to_methods_used_since_last_pregnancy_reason,has_geographical_region_bias,geographical_region_bias_reason,has_non_pregnant_and_other_positive_biases,non_pregnant_and_other_positive_biases_reason,age_group_bias,modern_method_bias,has_traditional_method_bias,traditional_method_bias_reason,has_absence_of_probing_questions_bias,se_modern,se_traditional,se_unmet_need,se_log_r_modern_no_use,se_log_r_traditional_no_use,se_log_r_unmet_no_need,source_id,record_id,region_code
854,2006.2384,2006.4493,N,15-49,MICS,UW,0.119655577,0.010957997,0.130613574,0.010957997,,N,,N,,N,,None,None,N,,Y,0.0099,0.0028,0,0.1181,0.3896,,136,N_11,
854,1992.9178,1993.2439,N,15-49,DHS,UW,0.031999415,0.04889154,0.080890955,,0.019941485,N,,N,,N,,None,None,N,,N,0.0049,0.0067,0.0052,0.1728,0.1588,0.2672,1776,N_140,
854,1998.8329,1999.2439,N,15-49,DHS,UW,0.099344326,0.025610862,0.124955188,,0.060424288,N,,N,,N,,None,None,N,,N,0.0081,0.0037,0.0066,0.1035,0.17,0.1202,1777,N_141,
854,2003.4137,2003.9124,N,15-49,DHS,UW,0.134192112,0.011377113,0.145569225,,0.046783074,N,,N,,N,,None,None,N,,N,0.0073,0.0006,0.0021,0.102,0.2003,0.1092,1787,N_150,
854,2010.3287,2011.0822,N,15-49,DHS,UW,0.113518713,0.004767032,0.118285745,,0.047467148,N,,N,,N,,None,None,N,,N,,,,,,,4494,N_299,
854,2015.3287,2015.4932,N,15-49,PMA,UW,0.135392914,0.014737661,0.150130575,,0.076668452,N,,N,,N,,None,None,N,,N,0.019,0.0051,0.019,0.163,0.3525,0.2615,5764,N_452,
854,2016.1644,2016.4137,N,15-49,PMA,UW,0.135017914,0.01216659,0.147184504,,0.086052156,N,,N,,N,,None,None,N,,N,0.0195,0.0039,0.0126,0.1676,0.369,0.1679,6107,N_505,
854,2016.8356,2017.0822,N,15-49,PMA,UW,0.137100687,0.01095897,0.148059657,,0.105845961,N,,N,,N,,None,None,N,,N,0.0118,0.0033,0.0116,0.1277,0.3196,0.1481,7483,N_527,
854,2017.8329,2018.0822,N,15-49,PMA,UW,0.150971508,0.018747868,0.169719376,,0.067338003,N,,N,,N,,None,None,N,,N,0.0155,0.0067,0.0095,0.1281,0.3869,0.1658,7655,N_546,
854,2006.2384,2006.4493,Y,15-49,MICS,MW,0.133,0.031418058,0.164418058,0.031418058,,N,,N,,N,,None,None,N,,Y,0.0119,0.006,0,0.1031,0.2089,,136,Y_606,
854,1992.9178,1993.2439,Y,15-49,DHS,MW,0.04185774,0.206976987,0.248834727,,0.245871983,N,,N,,N,,None,None,N,,N,0.0032,0.014,0.0092,0.083,0.0867,0.0472,1776,Y_874,
854,1998.8329,1999.2439,Y,15-49,DHS,MW,0.048296047,0.070394321,0.118690367,,0.302921865,N,,N,,N,,None,None,N,,N,0.0038,0.0083,0.0089,0.0842,0.128,0.0421,1777,Y_875,
854,2003.4137,2003.9124,Y,15-49,DHS,MW,0.087662704,0.050127463,0.137790166,,0.298314345,N,,N,,N,,None,None,N,,N,0.0056,0.0038,0.0067,0.0706,0.0814,0.0324,1787,Y_885,
854,2010.3287,2011.0822,Y,15-49,DHS,MW,0.15016405,0.011607235,0.161771285,,0.245046235,N,,N,,N,,None,None,N,,N,,,,,,,4494,Y_1302,
854,2015.3287,2015.4932,Y,15-49,PMA,MW,0.201,0.008,0.209,,0.331745463,N,,N,,N,,None,None,N,,N,0.0232,0.0019,0.0277,0.1443,0.2968,0.1346,5764,Y_1639,
854,2016.1644,2016.4137,Y,15-49,PMA,MW,0.242199745,0.012424916,0.25462466,,0.286317923,N,,N,,N,,None,None,N,,N,0.0191,0.0025,0.0167,0.1046,0.2061,0.0907,6107,Y_1717,
854,2016.8356,2017.0822,Y,15-49,PMA,MW,0.246,0.009007028,0.255007028,,0.290538986,N,,N,,N,,None,None,N,,N,0.0151,0.0021,0.0185,0.0822,0.238,0.0977,7483,Y_1752,
854,2017.8329,2018.0822,Y,15-49,PMA,MW,0.30138717,0.015100954,0.316488124,,0.227987605,N,,N,,N,,None,None,N,,N,,,,,,,7655,Y_1784,
854,2010.3287,2011.0822,Y,15-49,DHS,MW,0.312,0.049,0.36,,0.221,N,,N,,N,,None,None,N,,N,,,,,,,4494,Y_1302,Centre (including Ouagadougou)
854,2010.3287,2011.0822,Y,15-49,DHS,MW,0.114,0.006,0.121,,0.329,N,,N,,N,,None,None,N,,N,,,,,,,4494,Y_1302,Boucle de Mouhoun
854,2010.3287,2011.0822,Y,15-49,DHS,MW,0.163,0.001,0.165,,0.293,N,,N,,N,,None,None,N,,N,,,,,,,4494,Y_1302,Centre-Sud
854,2010.3287,2011.0822,Y,15-49,DHS,MW,0.142,0.021,0.163,,0.218,N,,N,,N,,None,None,N,,N,,,,,,,4494,Y_1302,Plateau Central
854,2010.3287,2011.0822,Y,15-49,DHS,MW,0.09,0.001,0.091,,0.272,N,,N,,N,,None,None,N,,N,,,,,,,4494,Y_1302,Centre-Est
854,2010.3287,2011.0822,Y,15-49,DHS,MW,0.093,0.002,0.095,,0.23,N,,N,,N,,None,None,N,,N,,,,,,,4494,Y_1302,Centre-Nord
854,2010.3287,2011.0822,Y,15-49,DHS,MW,0.096,0.015,0.111,,0.27,N,,N,,N,,None,None,N,,N,,,,,,,4494,Y_1302,Centre-Ouest
854,2010.3287,2011.0822,Y,15-49,DHS,MW,0.108,0.001,0.109,,0.257,N,,N,,N,,None,None,N,,N,,,,,,,4494,Y_1302,Est
854,2010.3287,2011.0822,Y,15-49,DHS,MW,0.104,0.005,0.109,,0.244,N,,N,,N,,None,None,N,,N,,,,,,,4494,Y_1302,Nord
854,2010.3287,2011.0822,Y,15-49,DHS,MW,0.18,0.011,0.191,,0.221,N,,N,,N,,None,None,N,,N,,,,,,,4494,Y_1302,Cascades
854,2010.3287,2011.0822,Y,15-49,DHS,MW,0.268,0.011,0.279,,0.224,N,,N,,N,,None,None,N,,N,,,,,,,4494,Y_1302,Hauts Bassins
854,2010.3287,2011.0822,Y,15-49,DHS,MW,0.069,0,0.07,,0.191,N,,N,,N,,None,None,N,,N,,,,,,,4494,Y_1302,Sahel
854,2010.3287,2011.0822,Y,15-49,DHS,MW,0.1,0.005,0.105,,0.158,N,,N,,N,,None,None,N,,N,,,,,,,4494,Y_1302,Sud-Ouest
854,2003.4137,2003.9124,Y,15-49,DHS,MW,0.253,0.0682,0.3212,,0.2424,N,,N,,N,,None,None,N,,N,,,,,,,1787,Y_885,Centre (including Ouagadougou)
854,2003.4137,2003.9124,Y,15-49,DHS,MW,0.107,0.024,0.13,,0.282,N,,N,,N,,None,None,N,,N,,,,,,,1787,Y_885,Boucle de Mouhoun
854,2003.4137,2003.9124,Y,15-49,DHS,MW,0.052,0.012,0.064,,0.276,N,,N,,N,,None,None,N,,N,,,,,,,1787,Y_885,Centre-Sud
