"unit_numeric_code","is_in_union","age_range","mid_year","population_count","region_code"
854,"N","15-49",1970,35328.9046,"Centre (including Ouagadougou)"
854,"N","15-49",1970,12231.6612,"Boucle de Mouhoun"
854,"N","15-49",1970,14669.5868,"Centre-Sud"
854,"N","15-49",1970,15762.45,"Plateau Central"
854,"N","15-49",1970,13891.9726,"Centre-Est"
854,"N","15-49",1970,10066.9514,"Centre-Nord"
854,"N","15-49",1970,20932.5336,"Centre-Ouest"
854,"N","15-49",1970,11559.13,"Est"
854,"N","15-49",1970,15363.1346,"Nord"
854,"N","15-49",1970,12168.6114,"Cascades"
854,"N","15-49",1970,23958.924,"Hauts Bassins"
854,"N","15-49",1970,8826.972,"Sahel"
854,"N","15-49",1970,15426.1844,"Sud-Ouest"
854,"Y","15-49",1970,88093.3044,"Centre (including Ouagadougou)"
854,"Y","15-49",1970,92340.0768,"Boucle de Mouhoun"
854,"Y","15-49",1970,72739.5888,"Centre-Sud"
854,"Y","15-49",1970,79381.9764,"Plateau Central"
854,"Y","15-49",1970,82975.3992,"Centre-Est"
854,"Y","15-49",1970,79599.7596,"Centre-Nord"
854,"Y","15-49",1970,94300.1256,"Centre-Ouest"
854,"Y","15-49",1970,93864.5592,"Est"
854,"Y","15-49",1970,83737.6404,"Nord"
854,"Y","15-49",1970,72739.5888,"Cascades"
854,"Y","15-49",1970,91686.7272,"Hauts Bassins"
854,"Y","15-49",1970,81015.3504,"Sahel"
854,"Y","15-49",1970,76550.7948,"Sud-Ouest"
854,"N","15-49",1971,35841.9458,"Centre (including Ouagadougou)"
854,"N","15-49",1971,12409.2876,"Boucle de Mouhoun"
854,"N","15-49",1971,14882.6164,"Centre-Sud"
854,"N","15-49",1971,15991.35,"Plateau Central"
854,"N","15-49",1971,14093.7098,"Centre-Est"
854,"N","15-49",1971,10213.1422,"Centre-Nord"
854,"N","15-49",1971,21236.5128,"Centre-Ouest"
854,"N","15-49",1971,11726.99,"Est"
854,"N","15-49",1971,15586.2358,"Nord"
