"unit_numeric_code","is_in_union","age_range","mid_year","population_count","region_code"
231,"N","15-49",1970,117626.366576164,"Addis Adaba"
231,"N","15-49",1970,10604.3755357505,"Afar"
231,"N","15-49",1970,355802.396789048,"Amhara"
231,"N","15-49",1970,15725.0827081491,"Benishangul"
231,"N","15-49",1970,14401.2216501981,"Dire Dawa"
231,"N","15-49",1970,7645.55395137313,"Gambela"
231,"N","15-49",1970,5231.20135214648,"Harari"
231,"N","15-49",1970,519692.728078255,"Oromia"
231,"N","15-49",1970,263509.099998217,"SNNPR"
231,"N","15-49",1970,68038.7835484266,"Somali"
231,"N","15-49",1970,129374.189812272,"Tigray"
231,"Y","15-49",1970,177660.49579256,"Addis Adaba"
231,"Y","15-49",1970,55315.9293722377,"Afar"
231,"Y","15-49",1970,1130547.27142267,"Amhara"
231,"Y","15-49",1970,57597.2405858753,"Benishangul"
231,"Y","15-49",1970,30680.477667237,"Dire Dawa"
231,"Y","15-49",1970,21680.1398577631,"Gambela"
231,"Y","15-49",1970,14166.1006396805,"Harari"
231,"Y","15-49",1970,1985531.42734632,"Oromia"
231,"Y","15-49",1970,1013853.37867605,"SNNPR"
231,"Y","15-49",1970,244541.13361379,"Somali"
231,"Y","15-49",1970,318318.405025814,"Tigray"
231,"N","15-49",1971,120399.340109728,"Addis Adaba"
231,"N","15-49",1971,10854.3675533272,"Afar"
231,"N","15-49",1971,364190.232426524,"Amhara"
231,"N","15-49",1971,16095.7924344803,"Benishangul"
231,"N","15-49",1971,14740.7221180725,"Dire Dawa"
231,"N","15-49",1971,7825.79346206871,"Gambela"
231,"N","15-49",1971,5354.52389725671,"Harari"
231,"N","15-49",1971,531944.183449131,"Oromia"
231,"N","15-49",1971,269721.174564637,"SNNPR"
231,"N","15-49",1971,69642.7585034249,"Somali"
231,"N","15-49",1971,132424.11148135,"Tigray"
231,"Y","15-49",1971,182043.174919828,"Addis Adaba"
231,"Y","15-49",1971,56680.5094269292,"Afar"
231,"Y","15-49",1971,1158436.56615164,"Amhara"
231,"Y","15-49",1971,59018.097951931,"Benishangul"
231,"Y","15-49",1971,31437.32959702,"Dire Dawa"
231,"Y","15-49",1971,22214.9638545497,"Gambela"
231,"Y","15-49",1971,14515.5619721581,"Harari"
231,"Y","15-49",1971,2034512.19318481,"Oromia"
231,"Y","15-49",1971,1038863.96992208,"SNNPR"
231,"Y","15-49",1971,250573.680789044,"Somali"
231,"Y","15-49",1971,326170.95223001,"Tigray"
231,"N","15-49",1972,123472.611182278,"Addis Adaba"
231,"N","15-49",1972,11131.4323095133,"Afar"
231,"N","15-49",1972,373486.423794365,"Amhara"
231,"N","15-49",1972,16506.647952738,"Benishangul"
231,"N","15-49",1972,15116.9885895722,"Dire Dawa"
231,"N","15-49",1972,8025.55190463833,"Gambela"
231,"N","15-49",1972,5491.20158490618,"Harari"
231,"N","15-49",1972,545522.402978538,"Oromia"
231,"N","15-49",1972,276605.982095046,"SNNPR"
231,"N","15-49",1972,71420.43498343,"Somali"
231,"N","15-49",1972,135804.322624974,"Tigray"
231,"Y","15-49",1972,186769.396986512,"Addis Adaba"
231,"Y","15-49",1972,58152.0541553841,"Afar"
231,"Y","15-49",1972,1188512.00547647,"Amhara"
231,"Y","15-49",1972,60550.3313740134,"Benishangul"
231,"Y","15-49",1972,32253.5085113051,"Dire Dawa"
231,"Y","15-49",1972,22791.7108401272,"Gambela"
231,"Y","15-49",1972,14892.4163603183,"Harari"
231,"Y","15-49",1972,2087332.39051768,"Oromia"
231,"Y","15-49",1972,1065835.05423266,"SNNPR"
231,"Y","15-49",1972,257079.0983088,"Somali"
231,"Y","15-49",1972,334639.033236726,"Tigray"
231,"N","15-49",1973,126645.357277486,"Addis Adaba"
231,"N","15-49",1973,11417.4650422458,"Afar"
231,"N","15-49",1973,383083.51242285,"Amhara"
231,"N","15-49",1973,16930.8019601373,"Benishangul"
231,"N","15-49",1973,15505.4339788744,"Dire Dawa"
231,"N","15-49",1973,8231.77608847567,"Gambela"
231,"N","15-49",1973,5632.30322857994,"Harari"
231,"N","15-49",1973,559540.119598652,"Oromia"
231,"N","15-49",1973,283713.635696926,"SNNPR"
231,"N","15-49",1973,73255.6509397622,"Somali"
231,"N","15-49",1973,139293.943766011,"Tigray"
231,"Y","15-49",1973,191525.558125541,"Addis Adaba"
231,"Y","15-49",1973,59632.9206388182,"Afar"
231,"Y","15-49",1973,1218777.96288128,"Amhara"
231,"Y","15-49",1973,62092.2709941171,"Benishangul"
231,"Y","15-49",1973,33074.8576522989,"Dire Dawa"
231,"Y","15-49",1973,23372.1113293874,"Gambela"
231,"Y","15-49",1973,15271.6579978778,"Harari"
231,"Y","15-49",1973,2140487.18653993,"Oromia"
231,"Y","15-49",1973,1092976.99154867,"SNNPR"
231,"Y","15-49",1973,263625.725522685,"Somali"
231,"Y","15-49",1973,343160.756769396,"Tigray"
231,"N","15-49",1974,129707.00342582,"Addis Adaba"
231,"N","15-49",1974,11693.4817760747,"Afar"
231,"N","15-49",1974,392344.54011082,"Amhara"
231,"N","15-49",1974,17340.1033804483,"Benishangul"
231,"N","15-49",1974,15880.2771886074,"Dire Dawa"
231,"N","15-49",1974,8430.77892677165,"Gambela"
231,"N","15-49",1974,5768.46392058421,"Harari"
231,"N","15-49",1974,573066.978291576,"Oromia"
231,"N","15-49",1974,290572.40082369,"SNNPR"
231,"N","15-49",1974,75026.6031986122,"Somali"
231,"N","15-49",1974,142661.368956996,"Tigray"
231,"Y","15-49",1974,195984.157955652,"Addis Adaba"
231,"Y","15-49",1974,61021.1391744091,"Afar"
231,"Y","15-49",1974,1247150.38101403,"Amhara"
