unit_numeric_code,start_date,end_date,is_in_union,age_range,data_series_type,group_type_relative_to_baseline,contraceptive_use_modern,contraceptive_use_traditional,contraceptive_use_any,unmet_need_modern,unmet_need_any,is_pertaining_to_methods_used_since_last_pregnancy,pertaining_to_methods_used_since_last_pregnancy_reason,has_geographical_region_bias,geographical_region_bias_reason,has_non_pregnant_and_other_positive_biases,non_pregnant_and_other_positive_biases_reason,age_group_bias,modern_method_bias,has_traditional_method_bias,traditional_method_bias_reason,has_absence_of_probing_questions_bias,se_modern,se_traditional,se_unmet_need,se_log_r_modern_no_use,se_log_r_traditional_no_use,se_log_r_unmet_no_need,source_id,record_id,region_code
231,1990,1990,Y,15-49,National survey,MW,0.029,0.019,0.048,,,N,,Y,"Excluding Eritrea, Tigray, Asseb, Ogaden, parts of Gondar and Wello and nomadic populations.",Y,,None,None,Y,Traditional methods include folk methods.,N,,,,,,,184,Y_347,
231,1997,1997,Y,15-49,National survey,MW,0.028,0.005,0.033,,,N,,Y,"Data pertain to urban areas and rural areas of Guraghe, Hadiya, North Omo, Timbaro (K.A.T.) and Sidamo.",Y,,None,None,N,,N,,,,,,,3082,Y_348,
231,2000.084699,2000.412568,Y,15-49,DHS,MW,0.063286588,0.017494297,0.080780885,,0.365639944,N,,N,,N,,None,None,N,,N,0.004439076,0.002045204,0.008606469,0.074870556,0.118938696,0.039528586,1694,Y_349,
231,2005.246575,2005.663014,Y,15-49,DHS,MW,0.139038461,0.008137062,0.147175523,,0.360935134,N,,N,,N,,None,None,N,,N,0.007250919,0.001086172,0.00805805,0.06073471,0.135482981,0.035404125,1858,Y_350,
231,2010.915068,2011.410959,Y,15-49,DHS,MW,0.273369627,0.01277094,0.286140567,,0.262929979,N,,N,,N,,None,None,N,,N,0.011218496,0.00213462,0.008205342,0.056990263,0.171690655,0.040876514,5053,Y_351,
231,2014.747945,2014.99726,Y,15-49,PMA,MW,0.342,0.0083,0.3503,,0.2412,N,,N,,N,,None,None,N,,N,0.021510918,0.001953354,0.013986365,0.096095799,0.239011361,0.077425428,5765,Y_353,
231,2016,2016.494536,Y,15-49,DHS,MW,0.351892034,0.006951133,0.358843167,,0.223036313,N,,N,,N,,None,None,N,,N,0.01259598,0.001069288,0.008574054,0.055508676,0.157233885,0.045988104,5808,Y_356,
231,2017.246575,2017.408219,Y,15-49,PMA,MW,0.352,0.013,0.365,,0.2283,N,,N,,N,,None,None,N,,N,0.020008639,0.001989672,0.012719264,0.088008713,0.186009957,0.064501443,7480,Y_358,
231,2018.413699,2018.578082,Y,15-49,PMA,MW,0.3784,0.0224,0.4008,,0.2064,N,,N,,N,,None,None,N,,N,0.019372467,0.003259386,0.012457229,0.082137099,0.190483806,0.072535515,7656,Y_359,
231,2019.161644,2019.493151,Y,15-49,DHS,MW,0.405,0.01,0.414,,,N,,N,,N,,None,None,N,,N,,,,,,,7685,Y_360,
231,2019.747945,2019.915068,Y,15-49,PMA,MW,0.3576,0.0124,0.37,,0.2009,N,,N,,N,,None,None,N,,N,,,,,,,9014,Y_361,
231,2000.084699,2000.412568,N,15-49,DHS,UW,0.018010529,0.003293362,0.021303891,,0.038119894,N,,N,,N,,None,None,N,,N,0.002763003,0.000635,0.003935773,0.156252862,0.193435758,0.107574723,1694,N_1522,
