"year","percentile","contraceptive_use_modern","Region","Population"
1970,"50%",0.00600551021717677,"AddisAdaba","ALL"
1971,"50%",0.00683172938533475,"AddisAdaba","ALL"
1972,"50%",0.00786869976858969,"AddisAdaba","ALL"
1973,"50%",0.00936974115525994,"AddisAdaba","ALL"
1974,"50%",0.0108259009404388,"AddisAdaba","ALL"
1975,"50%",0.0124534644845781,"AddisAdaba","ALL"
1976,"50%",0.0140899403571633,"AddisAdaba","ALL"
1977,"50%",0.0162822064500323,"AddisAdaba","ALL"
1978,"50%",0.0189501073498917,"AddisAdaba","ALL"
1979,"50%",0.0216965417076844,"AddisAdaba","ALL"
1980,"50%",0.0248710147769339,"AddisAdaba","ALL"
1981,"50%",0.0286668324892696,"AddisAdaba","ALL"
1982,"50%",0.0327162134525811,"AddisAdaba","ALL"
1983,"50%",0.0372233872377887,"AddisAdaba","ALL"
1984,"50%",0.0419486758715952,"AddisAdaba","ALL"
1985,"50%",0.0476264409071147,"AddisAdaba","ALL"
1986,"50%",0.0537611455763228,"AddisAdaba","ALL"
1987,"50%",0.0611268849978334,"AddisAdaba","ALL"
1988,"50%",0.0679073158399863,"AddisAdaba","ALL"
1989,"50%",0.0764359045560538,"AddisAdaba","ALL"
1990,"50%",0.0855960372120743,"AddisAdaba","ALL"
1991,"50%",0.0970832197297481,"AddisAdaba","ALL"
1992,"50%",0.109606692805213,"AddisAdaba","ALL"
1993,"50%",0.123434284756722,"AddisAdaba","ALL"
1994,"50%",0.139297878030698,"AddisAdaba","ALL"
1995,"50%",0.155454834687117,"AddisAdaba","ALL"
1996,"50%",0.173362639508078,"AddisAdaba","ALL"
1997,"50%",0.191624948238576,"AddisAdaba","ALL"
1998,"50%",0.209548138759716,"AddisAdaba","ALL"
1999,"50%",0.227572352848512,"AddisAdaba","ALL"
2000,"50%",0.245830464321802,"AddisAdaba","ALL"
2001,"50%",0.261072312640868,"AddisAdaba","ALL"
2002,"50%",0.275515139415565,"AddisAdaba","ALL"
2003,"50%",0.28968569247604,"AddisAdaba","ALL"
2004,"50%",0.302575737557045,"AddisAdaba","ALL"
2005,"50%",0.313765190863857,"AddisAdaba","ALL"
2006,"50%",0.324645256180777,"AddisAdaba","ALL"
2007,"50%",0.334861908217254,"AddisAdaba","ALL"
2008,"50%",0.343350341224543,"AddisAdaba","ALL"
2009,"50%",0.351524053451039,"AddisAdaba","ALL"
2010,"50%",0.357974614685449,"AddisAdaba","ALL"
2011,"50%",0.36047953776589,"AddisAdaba","ALL"
2012,"50%",0.360019645675842,"AddisAdaba","ALL"
2013,"50%",0.357279316857076,"AddisAdaba","ALL"
2014,"50%",0.353384607640628,"AddisAdaba","ALL"
2015,"50%",0.348232974436929,"AddisAdaba","ALL"
2016,"50%",0.342343823733787,"AddisAdaba","ALL"
2017,"50%",0.338039877397706,"AddisAdaba","ALL"
2018,"50%",0.333867030500156,"AddisAdaba","ALL"
2019,"50%",0.331887365019022,"AddisAdaba","ALL"
2020,"50%",0.334371947514518,"AddisAdaba","ALL"
2021,"50%",0.340550780890574,"AddisAdaba","ALL"
2022,"50%",0.347676954678315,"AddisAdaba","ALL"
2023,"50%",0.354954407812548,"AddisAdaba","ALL"
2024,"50%",0.363314820905203,"AddisAdaba","ALL"
2025,"50%",0.371350357641464,"AddisAdaba","ALL"
2026,"50%",0.377465920508197,"AddisAdaba","ALL"
2027,"50%",0.383403515196138,"AddisAdaba","ALL"
2028,"50%",0.389131445967967,"AddisAdaba","ALL"
2029,"50%",0.396430136573997,"AddisAdaba","ALL"
2030,"50%",0.401114509478801,"AddisAdaba","ALL"
1970,"50%",0.00351158800771751,"Afar","ALL"
1971,"50%",0.00402185146682785,"Afar","ALL"
1972,"50%",0.00456149616408779,"Afar","ALL"
1973,"50%",0.0051918272960518,"Afar","ALL"
1974,"50%",0.00597890890231662,"Afar","ALL"
1975,"50%",0.00672062843032934,"Afar","ALL"
1976,"50%",0.00764120209047552,"Afar","ALL"
1977,"50%",0.00861627935475162,"Afar","ALL"
1978,"50%",0.0095825490899385,"Afar","ALL"
1979,"50%",0.0106618333823555,"Afar","ALL"
1980,"50%",0.01205870857271,"Afar","ALL"
1981,"50%",0.0135222325193323,"Afar","ALL"
1982,"50%",0.0150262779729645,"Afar","ALL"
1983,"50%",0.0166823604884641,"Afar","ALL"
1984,"50%",0.0184691188917758,"Afar","ALL"
