year,percentile,contraceptive_use_modern,region_code,Population
2000,50%,0.157005723,Baringo County,All
2001,50%,0.163605548,Baringo County,All
2002,50%,0.170335377,Baringo County,All
2003,50%,0.177151706,Baringo County,All
2004,50%,0.184717044,Baringo County,All
2005,50%,0.193659903,Baringo County,All
2006,50%,0.20197113,Baringo County,All
2007,50%,0.209757008,Baringo County,All
2008,50%,0.218647829,Baringo County,All
2009,50%,0.223977928,Baringo County,All
2010,50%,0.228188359,Baringo County,All
2011,50%,0.233144102,Baringo County,All
2012,50%,0.238541377,Baringo County,All
2013,50%,0.243865274,Baringo County,All
2014,50%,0.248550202,Baringo County,All
2015,50%,0.256287088,Baringo County,All
2016,50%,0.264160326,Baringo County,All
2017,50%,0.271765975,Baringo County,All
2018,50%,0.279599782,Baringo County,All
2019,50%,0.286611601,Baringo County,All
2020,50%,0.292846989,Baringo County,All
2021,50%,0.299640088,Baringo County,All
2022,50%,0.307158533,Baringo County,All
2023,50%,0.314271036,Baringo County,All
2024,50%,0.319743723,Baringo County,All
2025,50%,0.325731579,Baringo County,All
2026,50%,0.331000784,Baringo County,All
2027,50%,0.338424865,Baringo County,All
2028,50%,0.343876473,Baringo County,All
2029,50%,0.349712036,Baringo County,All
2030,50%,0.357792528,Baringo County,All
2000,50%,0.192642296,Bomet County,All
2001,50%,0.200991989,Bomet County,All
2002,50%,0.208625503,Bomet County,All
2003,50%,0.215783703,Bomet County,All
2004,50%,0.218349544,Bomet County,All
2005,50%,0.220580739,Bomet County,All
2006,50%,0.223799282,Bomet County,All
2007,50%,0.227427224,Bomet County,All
2008,50%,0.233476352,Bomet County,All
2009,50%,0.250539984,Bomet County,All
2010,50%,0.269504923,Bomet County,All
2011,50%,0.288663575,Bomet County,All
2012,50%,0.309002248,Bomet County,All
2013,50%,0.327747805,Bomet County,All
2014,50%,0.344617743,Bomet County,All
2015,50%,0.353324696,Bomet County,All
2016,50%,0.362002954,Bomet County,All
2017,50%,0.368853337,Bomet County,All
2018,50%,0.374547992,Bomet County,All
2019,50%,0.37957261,Bomet County,All
2020,50%,0.383662191,Bomet County,All
2021,50%,0.388883556,Bomet County,All
2022,50%,0.39426824,Bomet County,All
2023,50%,0.399039828,Bomet County,All
2024,50%,0.40253883,Bomet County,All
2025,50%,0.406491924,Bomet County,All
2026,50%,0.412016513,Bomet County,All
2027,50%,0.414954983,Bomet County,All
2028,50%,0.418510299,Bomet County,All
2029,50%,0.423034057,Bomet County,All
2030,50%,0.426921092,Bomet County,All
2000,50%,0.137937592,Bungoma County,All
2001,50%,0.148237998,Bungoma County,All
2002,50%,0.158978103,Bungoma County,All
2003,50%,0.171637202,Bungoma County,All
2004,50%,0.189794938,Bungoma County,All
2005,50%,0.209257879,Bungoma County,All
2006,50%,0.229366784,Bungoma County,All
2007,50%,0.24998351,Bungoma County,All
2008,50%,0.269357035,Bungoma County,All
2009,50%,0.289332234,Bungoma County,All
2010,50%,0.307539811,Bungoma County,All
2011,50%,0.32516082,Bungoma County,All
2012,50%,0.343215545,Bungoma County,All
2013,50%,0.362674172,Bungoma County,All
2014,50%,0.385665226,Bungoma County,All
2015,50%,0.415729802,Bungoma County,All
2016,50%,0.43363821,Bungoma County,All
2017,50%,0.443417407,Bungoma County,All
2018,50%,0.446802864,Bungoma County,All
2019,50%,0.450708617,Bungoma County,All
2020,50%,0.45288627,Bungoma County,All
2021,50%,0.455914863,Bungoma County,All
2022,50%,0.458064892,Bungoma County,All
2023,50%,0.461001662,Bungoma County,All
2024,50%,0.464733519,Bungoma County,All
2025,50%,0.467895655,Bungoma County,All
2026,50%,0.470957448,Bungoma County,All
2027,50%,0.473632435,Bungoma County,All
2028,50%,0.476730487,Bungoma County,All
2029,50%,0.479422297,Bungoma County,All
2030,50%,0.482742462,Bungoma County,All
2000,50%,0.134069681,Busia County,All
2001,50%,0.1433359,Busia County,All
2002,50%,0.153287387,Busia County,All
2003,50%,0.164564603,Busia County,All
2004,50%,0.180118737,Busia County,All
2005,50%,0.196839013,Busia County,All
2006,50%,0.21504553,Busia County,All
2007,50%,0.234015536,Busia County,All
2008,50%,0.255020658,Busia County,All
2009,50%,0.279933543,Busia County,All
2010,50%,0.305759878,Busia County,All
