"Country","mCPR with SC Introduction","mCPR without SC Introduction","DMPA-SC Users","Additional Users","Former IM","Former STM","Reduced Discontinuation","Uptake from Non-Users"
"Baringo County",36.9,35.8,4417,2195,0.41012046733467,0.09289069328777,0.0435516220775334,0.453437217300027
"Bomet County",43.5,42.7,10516,3407,0.653773902772462,0.0222125019758035,0.0550595303242578,0.268954064927477
"Bungoma County",49.1,48.3,18029,5482,0.635309864883693,0.0606154405202466,0.0579594409257368,0.246115253670324
"Busia County",48.8,47.9,6870,2842,0.530296657732991,0.0560210142842377,0.0489982720526714,0.3646840559301
"Elgeyo Marakwet County",44.5,43.4,4073,1528,0.565226275882037,0.0596586855742135,0.0522197213758036,0.322895317167946
"Embu County",49.5,48.7,6663,1978,0.601015036250517,0.102203878180775,0.0599510986679202,0.236829986900788
"Garissa County",9.2,8,2165,1889,0.10770617641197,0.0196315777107164,0.0108938624928389,0.861768383384474
"Homa Bay County",47,46,12447,4617,0.572737152219165,0.0563108838740276,0.0524410270946692,0.318510936812138
"Isiolo County",32.4,31.5,1131,553,0.430143261552708,0.0806145268026536,0.0437590517223995,0.445483159922239
"Kajiado County",44.1,43.5,6848,2109,0.609052776080929,0.0828952011633458,0.0583929582911261,0.2496590644646
"Kakamega County",50,49.3,15860,4814,0.642426821607409,0.0540680085383012,0.057783893342501,0.245721276511789
"Kericho County",48.3,47.3,9455,3188,0.598612194534009,0.0642004976974561,0.0554203485160499,0.281766959252485
"Kiambu County",50.6,50.1,17230,4830,0.580033184178754,0.139608717637514,0.0625348050480669,0.217823293135665
"Kilifi County",42.7,41.7,13811,6230,0.502750135285176,0.0461609390512073,0.0456597554521158,0.405429170211501
"Kirinyaga County",58.9,58.3,5702,1635,0.500976590644362,0.212320808837431,0.0644827564130724,0.222219844105135
"Kisii County",51.7,50.9,14832,3812,0.69272723008474,0.0502787346918364,0.0613925204427342,0.19560151478069
"Kisumu County",48.6,47.9,10005,3593,0.582730359233098,0.0581638195016174,0.0534553754187017,0.305650445846583
"Kitui County",47.1,46.1,13877,4272,0.660401901210227,0.0317473526934631,0.0566803315796615,0.251170414516648
"Kwale County",40.5,39.5,8853,3759,0.530203333568771,0.045234961388849,0.0477596543118383,0.376802050730541
"Laikipia County",43.7,42.9,4347,1606,0.51259842118019,0.118018794195117,0.0546528223270472,0.314729962297645
"Lamu County",37.4,36.5,1045,439,0.480413968136176,0.0993629717553743,0.0499377477962188,0.370285312312231
"Machakos County",54.4,53.7,15024,3795,0.676453048214194,0.0709648494531614,0.0624461658101122,0.190135936522532
"Makueni County",53.9,53,11092,3592,0.588504568559913,0.0876730282327642,0.0572874564805912,0.266534946726731
"Mandera County",5.2,4.5,845,713,0.14968205155643,0.00734181465110361,0.0128634507463206,0.830112683046146
"Marsabit County",21.9,20.8,1005,686,0.292844694755402,0.0240182633291456,0.0262685873530377,0.656868454562414
"Meru County",56.6,56.1,18885,3351,0.760925435595905,0.0616516190562749,0.0681696652948582,0.109253280052962
"Migori County",43.3,42.5,8863,3198,0.590979496937892,0.0482607185966735,0.0529877712046145,0.30777201326082
"Mombasa County",46.3,45.7,9310,3109,0.568171252672715,0.0978122239691783,0.0568111656835679,0.277205357674539
"Muranga County",47.7,47,9215,3203,0.482231064819486,0.170158833699056,0.0581643730260077,0.28944572845545
"Nairobi County",50.9,50.4,42232,10758,0.639381379911604,0.105882476654664,0.0634533259474616,0.19128281748627
"Nakuru County",43.4,42.5,21543,7718,0.554062556619353,0.0876722037376488,0.054520291133414,0.303744948509585
"Nandi County",55.4,54.4,12514,3456,0.682808349197935,0.0410173583331753,0.0595385440547108,0.216635748414179
"Narok County",40.2,39.3,8892,3305,0.572180329491808,0.0561335590336,0.052376052099467,0.319310059375125
"Nyamira County",49.1,48.3,5725,1549,0.693928913036095,0.035527529850363,0.0598053611304403,0.210738195983101
"Nyandarua County",44.8,44.1,5388,1959,0.528454096467069,0.107948788578495,0.0547772768385137,0.308819838115923
"Nyeri County",50.5,49.8,7899,2699,0.505318561399463,0.153016705656202,0.0580626200064317,0.283602112937904
"Samburu County",28.5,27.5,1288,678,0.43440829905694,0.0389010225249666,0.0393405254572342,0.487350152960859
"Siaya County",47.5,46.4,8297,3708,0.416786504999505,0.136309543717513,0.0490429991315772,0.397860952151404
"Taita Taveta County",49.2,48.2,3590,1171,0.594195099344387,0.0796648447366727,0.0568305796595719,0.269309476259369
"Tana River County",30.7,29.5,2411,1309,0.402563016005638,0.0545116643021213,0.038563874069337,0.504361445622904
"Tharaka Nithi County",53.4,52.5,5270,1453,0.652035853083302,0.0722217018866471,0.0606279454900544,0.215114499539996
"Trans Nzoia County",52.2,51.4,13390,3575,0.660868753663262,0.0721139732408423,0.0613252845750162,0.20569198852088
"Turkana County",19.3,17.9,3269,2444,0.231623449284202,0.0205949273342599,0.0209593329214252,0.726822290460113
"Uasin Gishu County",50.6,49.9,11607,3493,0.621715341210226,0.0773252033513468,0.0587745092233523,0.242184946215074
"Vihiga County",46.2,45.3,5050,1973,0.533241137572077,0.0760709166304499,0.0515233274167402,0.339164618380733
"Wajir County",6.5,5.2,1803,1617,0.0926693337705034,0.0104731657977713,0.00864046141927986,0.888217039012445
"West Pokot County",31.8,30.8,3108,1489,0.501585420999252,0.0193918239410138,0.0425107555077072,0.436511999552027
