"Country","mCPR with SC Introduction","mCPR without SC Introduction","DMPA-SC Users","Additional Users","Former IM","Former STM","Reduced Discontinuation","Uptake from Non-Users"
"Abia",19.8,17.4,34895,26527,0.180972233556579,0.0588199660066091,0.0324057024029259,0.727802098033886
"Abuja",28,25.8,37478,24833,0.179909944649451,0.157510178141766,0.0434421461221955,0.619137731086588
"Adamawa",28.3,26.4,38089,25356,0.163343213520445,0.17095500677503,0.042610131394895,0.62309164830963
"AkwaIbom",25.3,22.3,56640,42609,0.0849098655407139,0.162825410964274,0.0305337696641105,0.721730953830901
"Anambra",28.3,26.1,53972,40404,0.0561829547671572,0.195217085076135,0.0301201485912158,0.718479811565492
"Bauchi",14.5,12.3,57300,47598,0.106484027144072,0.0628503777529441,0.0222688771625036,0.808396717940481
"Bayelsa",11.2,9.1,15238,13786,0.0202002589574871,0.0750809513949659,0.0113840574790671,0.89333473216848
"Benue",22.8,20.9,44852,35088,0.113220721610427,0.104466684587092,0.0279445943922278,0.754367999410252
"Borno",14.8,12.2,55505,48210,0.0611733004555173,0.0702679050404466,0.0166656365061687,0.851893157997867
"CrossRiver",26.4,24.3,31948,25689,0.108948137001294,0.0869668184280203,0.0253531625813245,0.778731881989361
"Delta",21.1,19.1,46877,36603,0.0947307921178908,0.124453744281827,0.0275806897067943,0.753234773893488
"Ebonyi",15,13,19542,16753,0.0878214924696766,0.0548702630779201,0.0187100656815504,0.838598178770853
"Edo",24.1,21.2,36073,26641,0.152804973390802,0.108681413868466,0.0340520483917691,0.704461564348963
"Ekiti",31.6,29.7,26120,18105,0.117177361829341,0.189670073947357,0.0381659639820413,0.65498660024126
"Enugu",27.1,24.9,39707,29792,0.0447184692613601,0.204980697781182,0.0295964725988254,0.720704360358633
"Gombe",26.1,24,25495,18914,0.10417232745406,0.153979846102904,0.0322705437647416,0.709577282678294
"Imo",22.4,20.2,48870,38649,0.0414060759995823,0.167748968556291,0.0249047952042017,0.765940160239925
"Jigawa",13.9,11.8,47832,38527,0.179696241861825,0.0148343426648306,0.027238020602074,0.77823139487127
"Kaduna",21.6,19.9,66645,50275,0.180588021109579,0.0650537484684744,0.0330577212885906,0.721300509133356
"Kano",14.2,12.6,87412,75216,0.10630422573073,0.0332110983778982,0.0188833970955429,0.841601278795829
"Katsina",11.8,10,58472,50519,0.109290506083611,0.0267197092039888,0.0185722420105753,0.845417542701825
"Kebbi",11.6,9.8,31212,25026,0.161262498708677,0.0369200958528593,0.0271200146322281,0.774697390806236
"Kogi",21.2,19.2,36272,28741,0.0801917551516027,0.127407989521706,0.0258478411098415,0.76655241421685
"Kwara",24.8,22.8,25301,17933,0.200463399494069,0.0907454508216052,0.0387968089811837,0.669994340703142
"Lagos",33.9,32.1,132693,84403,0.0933358378012366,0.270587289411808,0.0439479979798144,0.592128874807141
"Nasarawa",22.3,20.5,18756,14824,0.144079673653858,0.0655566454470801,0.0279225125149327,0.762441168384129
"Niger",15.2,13.2,43080,35074,0.141397714256441,0.0444353903098048,0.0251467787670706,0.789020116666683
"Ogun",26.2,24.3,48465,32298,0.219335809800408,0.114247461277302,0.0441450310802089,0.622271697842081
"Ondo",25.4,23.5,36086,28106,0.154311827000953,0.0668381700447893,0.0295230029923529,0.749326999961904
"Osun",31.7,29.8,42323,28219,0.210248683539925,0.122997910805996,0.0438446109420158,0.622908794712063
"Oyo",28.6,26.5,82902,54084,0.317421021142722,0.030185941542757,0.0485654959602048,0.603827541354316
"Plateau",27.6,25.7,39205,25542,0.310565451056746,0.0379461747886075,0.0484701968233269,0.60301817733132
"Rivers",27.5,25.5,71783,49569,0.0836601951441613,0.225793036143956,0.0374940515306814,0.653052717181202
"Sokoto",10.5,8.4,36576,31537,0.106045089767801,0.0317133313638584,0.0186767559101836,0.843564822958157
"Taraba",17.5,15.6,19765,16202,0.12438107001106,0.0558677514392658,0.0240226440801282,0.795728534469546
"Yobe",10.6,7.9,28549,25527,0.0830847296179189,0.0227564080803424,0.014395976666248,0.879762885635491
"Zamfara",15.4,13.8,28980,22544,0.192587612250129,0.0295063255988687,0.0307346472841011,0.747171414866901
