State,StateNum,Region
Abia,310,4
Abuja,140,1
Adamawa,70,2
AkwaIbom,300,5
Anambra,260,4
Bauchi,90,2
Bayelsa,340,5
Benue,180,1
Borno,60,2
CrossRiver,290,5
Delta,350,5
Ebonyi,280,4
Edo,250,5
Ekiti,230,6
Enugu,270,4
Gombe,80,2
Imo,320,4
Jigawa,40,3
Kaduna,110,3
Kano,100,3
Katsina,30,3
Kebbi,120,3
Kogi,190,1
Kwara,200,1
Lagos,360,6
Nasarawa,150,1
Niger,130,1
Ogun,370,6
Ondo,240,6
Osun,220,6
Oyo,210,6
Plateau,160,1
Rivers,330,5
Sokoto,10,3
Taraba,170,2
Yobe,50,2
Zamfara,20,3
