"unit_numeric_code","is_in_union","age_range","mid_year","population_count","region_code"
566,"N","15-49",1970,120837,"Abia"
566,"N","15-49",1970,95017,"Adamawa"
566,"N","15-49",1970,169626,"Akwa Ibom"
566,"N","15-49",1970,166322,"Anambra"
566,"N","15-49",1970,66818,"Bauchi"
566,"N","15-49",1970,49405,"Bayelsa"
566,"N","15-49",1970,149453,"Benue"
566,"N","15-49",1970,130052,"Borno"
566,"N","15-49",1970,121908,"Cross River"
566,"N","15-49",1970,153981,"Delta"
566,"N","15-49",1970,61967,"Ebonyi"
566,"N","15-49",1970,105885,"Edo"
566,"N","15-49",1970,71246,"Ekiti"
566,"N","15-49",1970,174971,"Enugu"
566,"N","15-49",1970,11869,"Abuja"
566,"N","15-49",1970,37837,"Gombe"
566,"N","15-49",1970,154282,"Imo"
566,"N","15-49",1970,68173,"Jigawa"
566,"N","15-49",1970,135613,"Kaduna"
566,"N","15-49",1970,199166,"Kano"
566,"N","15-49",1970,129744,"Katsina"
566,"N","15-49",1970,50309,"Kebbi"
566,"N","15-49",1970,108176,"Kogi"
566,"N","15-49",1970,55558,"Kwara"
566,"N","15-49",1970,426869,"Lagos"
566,"N","15-49",1970,62762,"Nasarawa"
566,"N","15-49",1970,65049,"Niger"
566,"N","15-49",1970,111209,"Ogun"
566,"N","15-49",1970,124745,"Ondo"
566,"N","15-49",1970,104056,"Osun"
566,"N","15-49",1970,128605,"Oyo"
566,"N","15-49",1970,108550,"Plateau"
566,"N","15-49",1970,243986,"Rivers"
566,"N","15-49",1970,51369,"Sokoto"
566,"N","15-49",1970,65200,"Taraba"
566,"N","15-49",1970,42738,"Yobe"
566,"N","15-49",1970,47886,"Zamfara"
566,"Y","15-49",1970,178264,"Abia"
566,"Y","15-49",1970,211887,"Adamawa"
566,"Y","15-49",1970,181493,"Akwa Ibom"
566,"Y","15-49",1970,263007,"Anambra"
566,"Y","15-49",1970,362327,"Bauchi"
566,"Y","15-49",1970,92603,"Bayelsa"
566,"Y","15-49",1970,273566,"Benue"
566,"Y","15-49",1970,240573,"Borno"
566,"Y","15-49",1970,151184,"Cross River"
566,"Y","15-49",1970,223146,"Delta"
566,"Y","15-49",1970,87135,"Ebonyi"
566,"Y","15-49",1970,211422,"Edo"
566,"Y","15-49",1970,156085,"Ekiti"
566,"Y","15-49",1970,189932,"Enugu"
566,"Y","15-49",1970,20657,"Abuja"
566,"Y","15-49",1970,127969,"Gombe"
566,"Y","15-49",1970,217124,"Imo"
566,"Y","15-49",1970,351869,"Jigawa"
566,"Y","15-49",1970,516687,"Kaduna"
566,"Y","15-49",1970,684053,"Kano"
566,"Y","15-49",1970,449212,"Katsina"
566,"Y","15-49",1970,248792,"Kebbi"
566,"Y","15-49",1970,203929,"Kogi"
566,"Y","15-49",1970,136020,"Kwara"
566,"Y","15-49",1970,563546,"Lagos"
566,"Y","15-49",1970,112844,"Nasarawa"
566,"Y","15-49",1970,288671,"Niger"
566,"Y","15-49",1970,229506,"Ogun"
566,"Y","15-49",1970,200365,"Ondo"
566,"Y","15-49",1970,208049,"Osun"
566,"Y","15-49",1970,401289,"Oyo"
566,"Y","15-49",1970,203555,"Plateau"
566,"Y","15-49",1970,306897,"Rivers"
566,"Y","15-49",1970,299750,"Sokoto"
566,"Y","15-49",1970,127357,"Taraba"
566,"Y","15-49",1970,128764,"Yobe"
566,"Y","15-49",1970,251215,"Zamfara"
566,"N","15-49",1971,123435,"Abia"
566,"N","15-49",1971,97061,"Adamawa"
566,"N","15-49",1971,173416,"Akwa Ibom"
566,"N","15-49",1971,169899,"Anambra"
566,"N","15-49",1971,68255,"Bauchi"
566,"N","15-49",1971,50467,"Bayelsa"
566,"N","15-49",1971,152667,"Benue"
566,"N","15-49",1971,132849,"Borno"
566,"N","15-49",1971,124530,"Cross River"
566,"N","15-49",1971,157316,"Delta"
566,"N","15-49",1971,63299,"Ebonyi"
566,"N","15-49",1971,106216,"Edo"
566,"N","15-49",1971,72778,"Ekiti"
566,"N","15-49",1971,178734,"Enugu"
566,"N","15-49",1971,9394,"Abuja"
566,"N","15-49",1971,38651,"Gombe"
566,"N","15-49",1971,157579,"Imo"
566,"N","15-49",1971,69640,"Jigawa"
566,"N","15-49",1971,138530,"Kaduna"
566,"N","15-49",1971,203452,"Kano"
566,"N","15-49",1971,132200,"Katsina"
566,"N","15-49",1971,51384,"Kebbi"
566,"N","15-49",1971,110504,"Kogi"
566,"N","15-49",1971,56969,"Kwara"
566,"N","15-49",1971,436049,"Lagos"
566,"N","15-49",1971,64103,"Nasarawa"
566,"N","15-49",1971,66439,"Niger"
566,"N","15-49",1971,113586,"Ogun"
566,"N","15-49",1971,127411,"Ondo"
566,"N","15-49",1971,106280,"Osun"
566,"N","15-49",1971,131354,"Oyo"
566,"N","15-49",1971,110870,"Plateau"
566,"N","15-49",1971,263088,"Rivers"
566,"N","15-49",1971,52466,"Sokoto"
566,"N","15-49",1971,66593,"Taraba"
566,"N","15-49",1971,43652,"Yobe"
566,"N","15-49",1971,48909,"Zamfara"
566,"Y","15-49",1971,182098,"Abia"
566,"Y","15-49",1971,216443,"Adamawa"
566,"Y","15-49",1971,185550,"Akwa Ibom"
566,"Y","15-49",1971,268662,"Anambra"
566,"Y","15-49",1971,370119,"Bauchi"
566,"Y","15-49",1971,94595,"Bayelsa"
566,"Y","15-49",1971,279449,"Benue"
566,"Y","15-49",1971,245747,"Borno"
566,"Y","15-49",1971,154435,"Cross River"
566,"Y","15-49",1971,227978,"Delta"
566,"Y","15-49",1971,89009,"Ebonyi"
566,"Y","15-49",1971,212081,"Edo"
566,"Y","15-49",1971,159442,"Ekiti"
566,"Y","15-49",1971,194017,"Enugu"
566,"Y","15-49",1971,16350,"Abuja"
566,"Y","15-49",1971,130721,"Gombe"
566,"Y","15-49",1971,221764,"Imo"
566,"Y","15-49",1971,359441,"Jigawa"
566,"Y","15-49",1971,527798,"Kaduna"
566,"Y","15-49",1971,698774,"Kano"
566,"Y","15-49",1971,457716,"Katsina"
566,"Y","15-49",1971,254109,"Kebbi"
