unit_numeric_code,start_date,end_date,is_in_union,age_range,data_series_type,group_type_relative_to_baseline,contraceptive_use_modern,contraceptive_use_traditional,contraceptive_use_any,unmet_need_modern,unmet_need_any,is_pertaining_to_methods_used_since_last_pregnancy,pertaining_to_methods_used_since_last_pregnancy_reason,has_geographical_region_bias,geographical_region_bias_reason,has_non_pregnant_and_other_positive_biases,non_pregnant_and_other_positive_biases_reason,age_group_bias,modern_method_bias,has_traditional_method_bias,traditional_method_bias_reason,has_absence_of_probing_questions_bias,se_modern,se_traditional,se_unmet_need,se_log_r_modern_no_use,se_log_r_traditional_no_use,se_log_r_unmet_no_need,source_id,record_id,region_code
566,1990.2466,1990.8301,N,15-49,DHS,UW,0.045035664,0.085463749,0.130499413,,0.011888339,N,,N,,N,,None,None,N,,N,0.0051,0.0081,0.0024,0.1468,0.1301,0.2561,1742,N_117,
566,1999.1616,1999.411,N,15-49,DHS,UW,0.059328675,0.04194901,0.101277685,,0.037365783,N,,N,,N,,None,None,N,,N,0.0068,0.0051,0.0037,0.0922,0.0998,0.0997,1828,N_177,
566,2003.1616,2003.663,N,15-49,DHS,UW,0.105155908,0.043685483,0.148841391,,0.07813553,N,,N,,N,,None,None,N,,N,0.005,0.0026,0.0051,0.086,0.1949,0.1302,1884,N_205,
566,2007.1616,2007.2849,N,15-49,MICS,UW,0.123718262,0.020056947,0.143775208,,,N,,N,,N,,None,None,N,,Y,0.0038,0.0011,0,0.0623,0.1239,,2478,N_234,
566,2008.4153,2008.8306,N,15-49,DHS,UW,0.124262846,0.05038269,0.174645536,,0.062018374,N,,N,,N,,None,None,N,,N,0.0025,0.0025,0.0014,0.0447,0.0623,0.0503,4695,N_312,
566,2011.0849,2011.2438,N,15-49,MICS,UW,0.15050573,0.049647495,0.200153226,,,N,,N,,N,,None,None,N,,Y,0.0044,0.0032,0.0024,0.0588,0.0893,0.0552,5018,N_350,
566,2013.0849,2013.4932,N,15-49,DHS,UW,0.145701625,0.035111336,0.180812961,,0.043115027,N,,N,,N,,None,None,N,,N,0.0041,0.0014,0.0017,0.0424,0.0709,0.0646,5447,N_396,
566,2012.4973,2012.9973,N,15-49,National survey,UW,0.108030983,0.017325724,0.125356706,,,N,,N,,N,,None,None,N,,N,,,,,,,5549,N_410,
566,2016.6667,2017.0822,N,15-49,MICS,UW,0.066091932,0.01261037,0.078702302,,,N,,N,,N,,None,None,N,,Y,,,,,,,5640,N_437,
566,2018.6164,2018.9918,N,15-49,DHS,UW,0.070220926,0.019112913,0.089333838,,0.067225359,N,,N,,N,,None,None,N,,N,0.0029,0.0013,0.0021,0.0554,0.0947,0.0461,7628,N_560,
